business_id,name,city,avg_rating,reviews_in_dataset,median_price,positive_sentiment_pct,yelp_rating,total_yelp_reviews
gkqfm6mTim9Rwopwjayc8w,Five & 1/4,Santa Barbara,5.0,27,2.0,100.0,5.0,27
u3uB0GD7cVf5NC-AFHdwnQ,Golden Line Coffee Bar,Santa Barbara,5.0,10,,100.0,5.0,10
Hl_vXTiYLozWo7T9Cq17vw,Aperitivo,Santa Barbara,5.0,48,,97.91666666666666,5.0,47
12Gc4OFQ-WAW0fAk2hRZuQ,Kin Bakeshop,Santa Barbara,5.0,25,,96.0,5.0,25
to6wzDW0qBkrY6zttmngZg,HeliCafe,Goleta,5.0,6,1.0,83.33333333333334,5.0,6
AqOSpSqdocwtIjqTECW2ng,Broad Street Oyster Company,Santa Barbara,5.0,5,,100.0,5.0,5
dutm97q2F4a6RV6YQ0uLHw,Crush Bar and Tap,Santa Barbara,5.0,34,2.0,97.05882352941177,5.0,34
PrJEYGjlhaF0BSZk_Q-uPg,El Pastorcito,Santa Barbara,5.0,5,,100.0,5.0,5
gLNf3zUydIKc_cvUll-6gw,August Ridge Vineyards,Santa Barbara,4.970588235294118,34,2.0,97.05882352941177,5.0,34
VC4jqq8Hu1_RjBFt8nHD2Q,Sugar Cat Studio,Santa Barbara,4.947368421052632,19,2.0,94.73684210526315,5.0,19
hfN0fllM3m2jykAgToRTlQ,Mezza Thyme,Santa Barbara,4.9361702127659575,47,,100.0,5.0,46
NG3SFWgDgjMMpIJoQoQ3XQ,MJ Cafe,Goleta,4.923076923076923,13,,100.0,5.0,11
OMWhamtXhqlYCj66MqcxuQ,Aksum Restaurant,Santa Barbara,4.888888888888889,9,,100.0,5.0,9
aQBWiMlM2nEIx3EIjLRGBg,Surf Dog,Carpinteria,4.877551020408164,49,1.0,91.83673469387756,5.0,47
8Lbz0hfE4MWzd7yDu9atBA,Uncorked Wine Tasting and Kitchen,Santa Barbara,4.872611464968153,157,2.0,97.45222929936305,5.0,146
R93mEcQ1pjq7q3LzShi3ow,"Villa Craft Beer, Wine & Kitchen",Santa Barbara,4.87012987012987,77,2.0,96.1038961038961,5.0,77
j1yb8y-jFwpG_hW9AH3PrQ,Santa Barbara Cider Company,Goleta,4.863157894736842,95,2.0,95.78947368421052,5.0,94
eUIsUpG6KAonYxGoExzy2Q,Costa Kitchen & Bar,Santa Barbara,4.857142857142857,14,,100.0,5.0,14
L9hRzl4W7TAdcW0Ld09O-A,Penelope's Sno Balls at the Beach,Carpinteria,4.857142857142857,7,,100.0,5.0,7
Slihcg1bmYvw-V_FUFghLg,Harbor Meat & Seafood,Santa Barbara,4.857142857142857,14,3.0,92.85714285714286,5.0,14
GBD-YjcOD1nG0wv4L0Lvfg,Venus in Furs,Santa Barbara,4.833333333333333,24,,87.5,5.0,24
2bl6G1zgXUHbMGwEocqMSg,Daves Dogs - Cart,Santa Barbara,4.833333333333333,162,1.0,97.53086419753086,5.0,156
yL1yC5OOawjSamAb9Wjm5A,Lemon & Coriander,Goleta,4.826086956521739,23,2.0,95.65217391304348,5.0,23
CuRjZOmfnXjefwEpyzmTTw,4 Eggs & Pizza,Santa Barbara,4.819672131147541,61,2.0,95.08196721311475,5.0,60
pQh2GzkAnbLKiDqEpxcylQ,Barbieri & Kempe: Wine,Santa Barbara,4.818181818181818,11,,90.9090909090909,5.0,11
kwtKZ3fzM5jlR8Z7KIA17g,Backstage Dueling Piano Bar,Santa Barbara,4.8,50,,94.0,5.0,50
