business_id,name,city,address,yelp_rating,median_price,dataset_reviews,avg_sentiment,dataset_avg_rating,value_score
--onnLZrsCazmcy2P_7fcw,Sizzler,Goleta,5555 Hollister Ave,3.0,2.0,7,0.5714285714285714,3.0,1.5
-8iATYRnN46Km0_-ldx6cg,Pace food+drink,Santa Barbara,413 State St,4.0,2.0,166,0.8313253012048193,4.240963855421687,2.1204819277108435
-9r8nAzWyRSLxBWt8uQOdA,Hana Kitchen,Isla Vista,6558 Pardall Rd,3.0,1.0,343,0.521865889212828,3.0495626822157433,3.0495626822157433
-ALqLSTzkGDMscHdxA1NgA,Su Casa Fresh Mexican Grill,Santa Barbara,1417 San Andres St,4.5,1.0,29,0.8275862068965517,4.344827586206897,4.344827586206897
-FM4CxOg4XXmX_Ebky_SiQ,Finch & Fork,Santa Barbara,31 W Carrillo St,4.0,2.0,1434,0.8145048814504882,4.204323570432357,2.1021617852161785
-FRHYI6doGCjIsXiKHkUqw,Deja Vu Cafe IV,Goleta,966 Embarcadero Del Mar,2.5,1.0,106,0.39622641509433965,2.641509433962264,2.641509433962264
-H-fZonTLitwHFY_PLAIjA,Taffy's Pizza,Santa Barbara,2026 De La Vina St,4.0,2.0,198,0.7171717171717171,3.8535353535353534,1.9267676767676767
-I7M6l0h46VdiN09Y1NUZw,Apna Indian Kitchen,Santa Barbara,718 State St,4.5,2.0,255,0.8862745098039215,4.6117647058823525,2.3058823529411763
-Lwq2vdrQolANLzEbYMPpQ,Le Crepe Shoppe,Santa Barbara,15 W Gutierrez St,4.0,1.0,22,0.8636363636363636,4.181818181818182,4.181818181818182
-M7wzxpUsdSkQd9PDGsJWA,Tyler's Donuts,Carpinteria,1002 Casitas Pass Rd,4.0,1.0,54,0.7222222222222222,3.962962962962963,3.962962962962963
-SS3ep20HKhuOhzDkkt9aA,Tinker's Burgers,Summerland,"2275 Ortega Hill Rd, Ste C",4.0,2.0,204,0.6911764705882353,3.8186274509803924,1.9093137254901962
-TArOdux8Z4oH-jIM1FJuQ,Bistro 1111,Santa Barbara,1111 E Cabrillo Blvd,3.5,2.0,63,0.5714285714285714,3.4285714285714284,1.7142857142857142
-TSPsir3LSLO9vVBkvkqUw,The Coffee Bean & Tea Leaf,Carpinteria,4991 Carpinteria Ave,3.5,2.0,60,0.6166666666666667,3.4166666666666665,1.7083333333333333
-VvMsFD0W2nQuO9buaeC1g,Los Tarascos,Goleta,5915B Calle Real,4.5,1.0,144,0.8958333333333334,4.291666666666667,4.291666666666667
-e8RwknT5szoLk9uBZjzcw,Riverbench Santa Barbara Tasting Room,Santa Barbara,"137 Anacapa St, Ste C",4.0,2.0,122,0.8278688524590164,4.098360655737705,2.0491803278688523
-fxH1XplVLVtWg2ZJWwRdA,Sam's To Go,Santa Barbara,"315 Meigs Rd, Ste I",4.5,1.0,88,0.8636363636363636,4.4772727272727275,4.4772727272727275
-ipZBVF9nWm1vzrvQ3444A,Habit Burger Grill,Santa Barbara,3890 La Cumbre Plz Ln,4.0,1.0,136,0.7647058823529411,3.8308823529411766,3.8308823529411766
-jrT-2bTSDaqJtzHRpY9ag,Dumpling King,Isla Vista,"966 Embarcadero Del Mar, Ste C",3.5,1.0,55,0.6181818181818182,3.727272727272727,3.727272727272727
-kOUmMiIimNSBIDdFN0x-Q,Beachside Bar-Cafe,Goleta,5905 Sandspit Rd,3.5,2.0,654,0.672782874617737,3.58868501529052,1.79434250764526
-kY_HDP7IMvGl-kBIZVU4A,Dune Coffee Roasters - Anacapa,Santa Barbara,528 Anacapa St,4.0,2.0,330,0.7909090909090909,4.1030303030303035,2.0515151515151517
-kfHz1kimX62QEceFkkB_g,Edomasa,Santa Barbara,2710 De La Vina St,3.5,2.0,413,0.7167070217917676,3.641646489104116,1.820823244552058
-loV4cB2Uh9TCltTRgGzWQ,Renaud's Patisserie & Bistro,Santa Barbara,"1324 State St, Ste N, Arlington Plaza",4.0,2.0,386,0.7979274611398963,4.2072538860103625,2.1036269430051813
-nwNPb3G-0L95igrhkvMtw,Panda Express,Santa Barbara,605 Paseo Nuevo,2.5,1.0,49,0.3469387755102041,2.63265306122449,2.63265306122449
-r6nmLB5Vi2TLQCxh0_dtw,South Coast Deli- Carrillo,Santa Barbara,10 E Carrillo St,4.0,1.0,221,0.8099547511312217,4.226244343891403,4.226244343891403
-ujBP1Dw0j1-Ffaz97-LXQ,Lama Dog Tap Room,Santa Barbara,116 Santa Barbara St,4.0,2.0,243,0.7983539094650206,4.0699588477366255,2.0349794238683128
04Ss49U_QKYLotcJMAH8cA,Ike’s Love & Sandwiches,Santa Barbara,1936 State St,4.0,2.0,100,0.72,3.95,1.975
06pNHtxgPhGhZpM0Z2uzNw,Hollister Brewing Company,Goleta,6980 Marketplace Dr,3.5,2.0,569,0.6362038664323374,3.4007029876977155,1.7003514938488578
07yUvKzFb-yPzJKoT0zamQ,Piranha Restaurant & Sushi Bar,Santa Barbara,714 State St,3.0,3.0,7,0.42857142857142855,3.0,1.0
0LXeNx7wGTqbMSwKkGC3xg,Altamirano Mexican Restaurant,Santa Barbara,"422 N Milpas St, Ste 1",4.0,2.0,25,0.8,3.88,1.94
0Qs-G8Xs-mz-jmQH5lez5A,Museum Cafe,Santa Barbara,1130 State St,4.5,2.0,23,0.9130434782608695,4.478260869565218,2.239130434782609
0RxU5OglQyPVtLKC1LPgsA,Bree'osh,Santa Barbara,"1150 Coast Village Rd, Ste E",4.5,2.0,511,0.8786692759295499,4.555772994129159,2.2778864970645794
0WrdiQ4qJBu2Gc7wRcIfdw,Tupelo Junction Cafe,Santa Barbara,1218 State St,4.0,2.0,1037,0.7743490838958534,3.957569913211186,1.978784956605593
0YI4tyK4MrTAveuj2js4OA,Firehouse Subs,Isla Vista,"6530 Seville Rd., #103",4.5,1.0,24,0.8333333333333334,4.416666666666667,4.416666666666667
0ac5lGA_0wdKDnib3y59Xg,Flor De Maiz,Santa Barbara,29 E Cabrillo Blvd,4.0,2.0,440,0.7477272727272727,4.1863636363636365,2.0931818181818183
0c28ysQJ_M1fVToTFV-FWQ,Wingman Rodeo - Montecito Street,Santa Barbara,235 W Montecito St,4.0,2.0,44,0.6818181818181818,4.0227272727272725,2.0113636363636362
0cWnURpfrb4MqKSzyVN4SQ,Alcazar Tapas Bar,Santa Barbara,1812 Cliff Dr,4.0,2.0,155,0.864516129032258,4.2064516129032254,2.1032258064516127
0f0l62WKla-j2cfnPn7P2Q,The Coffee Bean & Tea Leaf,Goleta,5745 Calle Real,3.5,1.0,73,0.6164383561643836,3.684931506849315,3.684931506849315
0iHHsSqphxrBWWecYEJcuQ,Cajé Coffee - Arlington St,Santa Barbara,1316 State St,4.5,2.0,72,0.9444444444444444,4.638888888888889,2.3194444444444446
0it-2gWk_gyuZyEMQzBBuQ,Corktree Cellars Wine Bar & Bistro,Carpinteria,910 Linden Ave,4.0,2.0,243,0.7325102880658436,3.8559670781893005,1.9279835390946503
0m0SQSIzM9WcDhJ7UEVCLQ,Ty Lounge,Santa Barbara,1260 Channel Drive,4.0,3.0,32,0.8125,4.1875,1.3958333333333333
0mUVD5sDXZjd66XwATN8XA,Phresh Teas,Goleta,"5599 Hollister Ave, Unit B & C",4.0,1.0,106,0.7358490566037735,3.990566037735849,3.990566037735849
0nR7jHCkFEzmA1n2b5g1nw,Basil's Italian,Santa Barbara,608 Anacapa St,4.5,2.0,65,0.7692307692307693,4.276923076923077,2.1384615384615384
0qu0fNTOsSmuREYVIMPuIQ,Cold Spring Tavern,Santa Barbara,5995 Stagecoach Rd,4.5,2.0,1036,0.833011583011583,4.2847490347490345,2.1423745173745172
0tbscjPg4IzURekIn_CJ1Q,Juice Ranch,Santa Barbara,33 Parker Way,4.0,2.0,153,0.7450980392156863,4.124183006535947,2.0620915032679736
0yD-SZAfjpH36-o7_pospw,Rincon Brewery,Isla Vista,6583 Pardall Rd,4.0,2.0,15,0.8,3.8666666666666667,1.9333333333333333
18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,Carpinteria,509 Linden Ave,4.5,2.0,470,0.8680851063829788,4.2957446808510635,2.1478723404255318
1Du1NruqJwxnzgEUHc42Jw,SB Sunshine Cafe,Santa Barbara,3514 State St,4.5,2.0,213,0.8732394366197183,4.535211267605634,2.267605633802817
1FURjeGJi_LBXcJQg8eskw,Padaro Beach Grill,Carpinteria,3765 Santa Claus Ln,4.5,2.0,910,0.8802197802197802,4.341758241758241,2.1708791208791207
1J0NIfmrSuV72KzhmYFxMA,Pane E Vino,Montecito,1482 E Valley Rd,4.0,2.0,80,0.725,3.9875,1.99375
1cYZIJM5P3yOsIjq8qxoSw,On the Side,Isla Vista,6521 Pardall Rd,3.5,2.0,7,0.5714285714285714,3.5714285714285716,1.7857142857142858
1hRWfuA-8THwYsDYgj-oIg,Holdren's Grill,Goleta,6920 Market Pl Dr,2.5,3.0,49,0.3469387755102041,2.5510204081632653,0.8503401360544217
1kVnChI4aqsPw9i2PVqkkw,Fresco Cafe,Santa Barbara,"3987 State St, Ste B",4.0,2.0,282,0.7624113475177305,3.8900709219858154,1.9450354609929077
1l4-uhraQzNiRjppKyMUUQ,Jeannine's American Bakery Restaurant,Goleta,"7060 Hollister Ave, Ste 105",4.5,2.0,117,0.9145299145299145,4.495726495726496,2.247863247863248
1lwulkAD5htni3rbHW8oeg,Subway,Santa Barbara,"1940 Cliff Dr, Ste B-13",3.0,1.0,12,0.4166666666666667,2.8333333333333335,2.8333333333333335
1oGCzoCC6HnQWpdK9cCP0g,Low Pigeon Coffee Roasters,Santa Barbara,401 E Haley St,5.0,2.0,94,0.9361702127659575,4.76595744680851,2.382978723404255
